,scripted with b and weight,,,,scripted with b no weight,,,,,,,,scripted no b with weight,,,,,scripted no b no weight,,,
,mean,standard_deviation,number of same results,,,,,,,,,,,mean,standard_deviation,number same,,,mean,standard_deviation,number of same results
accountant,-0.047070027,0.069999228,93,,,,,,,,,,accountant,-0.184170196,0.097741124,28,,accountant,-0.13906875,0.065913644,28
hr,-0.140149077,0.083000812,98,,,,,,,,,,hr,-0.217637675,0.101107237,60,,hr,-0.153070661,0.070708243,59
work from home,-1.703267708,1.698363971,60,,,,,,,,,,work from home,-2.903573776,2.266124207,52,,work from home,-1,-1,0
mechanical engineer,-0.24170264,0.059328022,100,,,,,,,,,,mechanical engineer,-0.281863081,0.07528897,80,,mechanical engineer,-0.108451988,0.042863717,80
electrical engineer,-0.243016318,0.064374489,99,,,,,,,,,,electrical engineer,-0.289877921,0.08426432,76,,electrical engineer,-0.112470987,0.051490186,76
civil engineer,-0.237915949,0.063892519,98,,,,,,,,,,civil engineer,-0.228086328,0.076304837,61,,civil engineer,-0.050142926,0.046105695,61
sales,-0.133725789,0.016301702,63,,,,,,,,,,sales,-0.2484405,0.010777863,2,,sales,-0.13819975,0.010417875,2
graphic designer,-0.2968376,0.118385361,100,,,,,,,,,,graphic designer,-0.33725282,0.127677432,75,,graphic designer,-0.196051287,0.085730305,75
it,-0.091733571,0.034640427,99,,,,,,,,,,it,-0.092228794,0.038415462,72,,it,-0.011985258,0.013780739,72
marketing,-0.138430048,0.042221768,98,,,,,,,,,,marketing,-0.187025062,0.035693338,45,,marketing,-0.088483416,0.020488517,45
engineer,-0.099278855,0.021490988,77,,,,,,,,,,engineer,-0.10600635,0.010082848,2,,engineer,-1,-1,0
customer service,-0.143453162,0.045910281,99,,,,,,,,,,customer service,-0.163158712,0.074840953,66,,customer service,-0.028753803,0.059299324,66
supply chain,-0.281890344,0.10811894,93,,,,,,,,,,supply chain,-0.327977633,0.139424122,49,,supply chain,-0.197023125,0.093289603,48
logistics,-0.14669803,0.054953048,89,,,,,,,,,,logistics,-0.186748084,0.07005253,64,,logistics,-0.124732848,0.047864116,64
internship,-1.412036131,1.422290593,78,,,,,,,,,,internship,-1.934491381,2.139584106,62,,internship,-1.564208268,1.89276364,62
data entry,-0.397115537,0.456449705,100,,,,,,,,,,data entry,-0.49433245,0.591425084,82,,data entry,-0.135049374,0.165772155,82
quality,-0.110504125,0.039703016,99,,,,,,,,,,quality,-0.093636077,0.060342527,73,,quality,-0.02477413,0.039813057,73
office manager,-0.138872304,0.068506317,97,,,,,,,,,,office manager,-0.165337991,0.086400517,53,,office manager,-1,-1,0
human resources,-0.425372448,0.180775468,96,,,,,,,,,,human resources,-0.639735391,0.216856741,64,,human resources,-0.46594339,0.156230143,59
procurement,-0.151060273,0.061199335,100,,,,,,,,,,procurement,-0.136577774,0.072948086,85,,procurement,-0.084045393,0.049970163,85
call center,-0.142592515,0.113379715,99,,,,,,,,,,call center,-0.213888368,0.133394309,76,,call center,-0.160057309,0.090740468,76
automotive,-0.2741445,1.135935501,96,,,,,,,,,,automotive,-0.582012549,1.286516333,90,,automotive,-0.340807377,1.128372729,90
production engineer,-0.211044105,0.074378049,100,,,,,,,,,,production engineer,-0.258026167,0.210232103,78,,production engineer,-0.106684154,0.19718214,78
real estate,-0.229680737,0.155918794,99,,,,,,,,,,real estate,-0.370488145,0.190724732,69,,real estate,-0.266060174,0.132459273,69
mechanical,-0.161523392,0.039147237,99,,,,,,,,,,mechanical,-0.189333916,0.051333986,80,,mechanical,-0.115813696,0.031955038,80
warehouse,-0.156576753,0.27560189,96,,,,,,,,,,warehouse,-0.341039435,0.682323828,84,,warehouse,-0.262998204,0.492999074,84
electrical,-0.15911903,0.046881624,100,,,,,,,,,,electrical,-0.192494284,0.064413124,76,,electrical,-0.116619458,0.047724813,76
php,-0.172613833,0.102841843,99,,,,,,,,,,php,-0.171911579,0.106098269,75,,php,-0.118934988,0.085133116,75
production,-0.134598054,0.051057473,100,,,,,,,,,,production,-0.132196069,0.066673316,85,,production,-0.076135454,0.045637056,85
flutter,-0.765971715,1.192115803,65,,,,,,,,,,flutter,-0.907000357,1.62405027,56,,flutter,-0.720487736,1.332128968,56
manager,-0.091189431,0.017550987,74,,,,,,,,,,manager,-0.09594934,0.006065513,15,,manager,-1,-1,0
receptionist,-0.083793141,0.105058961,99,,,,,,,,,,receptionist,-0.181878464,0.138530407,84,,receptionist,-0.159400607,0.109770842,84
digital marketing,-0.271302235,0.110291635,100,,,,,,,,,,digital marketing,-0.30977875,0.118093881,78,,digital marketing,-0.174373633,0.074541042,79
purchasing,-0.146977774,0.051582724,100,,,,,,,,,,purchasing,-0.089552531,0.058580386,83,,purchasing,-0.034139065,0.037335103,83
accounting,-0.168781513,0.045228998,94,,,,,,,,,,accounting,-0.140616811,0.056550558,46,,accounting,-0.075809854,0.037043142,46
sales manager,-0.17382139,0.053830501,100,,,,,,,,,,sales manager,-0.21245992,0.090111622,69,,sales manager,-1,-1,0
hse,-0.888939522,1.40857819,91,,,,,,,,,,hse,-1.145949728,1.747492745,84,,hse,-0.893914464,1.47511817,84
it manager,-0.151391934,0.048867617,99,,,,,,,,,,it manager,-0.15589653,0.050799908,67,,it manager,-1,-1,0
finance,-0.143260359,0.045591159,75,,,,,,,,,,finance,-0.16696669,0.058248714,51,,finance,-0.089727287,0.035155593,47
android,-0.186865482,0.108984656,99,,,,,,,,,,android,-0.200953067,0.120820603,87,,android,-0.155377424,0.095736035,87
sales engineer,-0.201057149,0.047281922,97,,,,,,,,,,sales engineer,-0.24740736,0.06731752,75,,sales engineer,-0.0601471,0.045867851,75
pharmaceutical,-0.183748794,0.073160274,99,,,,,,,,,,pharmaceutical,-0.350133729,0.1510185,77,,pharmaceutical,-0.28232369,0.140429923,77
legal,-0.308253114,0.607830266,83,,,,,,,,,,legal,-0.297339785,0.672524987,68,,legal,-0.206843444,0.481037647,69
secretary,-0.055649758,0.062775814,95,,,,,,,,,,secretary,-0.012858341,0.083376319,75,,secretary,0.006054495,0.062270522,75
planning,-0.076957226,0.042001037,94,,,,,,,,,,planning,-0.071687633,0.047725926,78,,planning,-0.011846619,0.013245743,78
maintenance,-0.126921137,0.04331029,98,,,,,,,,,,maintenance,-0.120210298,0.054524947,84,,maintenance,-0.064893239,0.03182668,84
accounting manager,-0.252252808,0.217654453,91,,,,,,,,,,accounting manager,-0.228080788,0.191464373,66,,accounting manager,-1,-1,0
project manager,-0.192891843,0.056766353,99,,,,,,,,,,project manager,-0.180243579,0.058354248,63,,project manager,-1,-1,0
maadi,0.910599881,0.561701433,70,,,,,,,,,,maadi,0.010614539,0.056251476,23,,maadi,0.366285996,0.647284687,23
safety,-0.13428407,0.075876147,97,,,,,,,,,,safety,-0.070025495,0.086114792,83,,safety,-0.022984344,0.058886376,87
,,,,,,,,,,,,,,,,,,,,,
mean,-0.238314667,0.233621747,92.86,,,,,,,,,,,-0.336878463,0.2941016,65.52,,,-0.315329884,0.036847663,57.68
