,mean,standard_deviation,number of same results
accountant,-0.13906875000000005,0.0659136435467032,28.0
hr,-0.153070661016949,0.07070824267011018,59.0
work from home,-1.0,-1.0,0.0
mechanical engineer,-0.1084519875,0.04286371671156108,80.0
electrical engineer,-0.11247098684210537,0.05149018550571719,76.0
civil engineer,-0.0501429262295081,0.04610569483252911,61.0
sales,-0.13819975000000007,0.010417874917898855,2.0
graphic designer,-0.1960512866666666,0.08573030493269283,75.0
it,-0.01198525833333334,0.013780738854737235,72.0
marketing,-0.08848341555555549,0.020488517453996262,45.0
engineer,-1.0,-1.0,0.0
customer service,-0.02875380303030313,0.059299324111135705,66.0
supply chain,-0.19702312500000005,0.09328960294378758,48.0
logistics,-0.12473284843749999,0.047864116387062554,64.0
internship,-1.5642082679032256,1.8927636395004654,62.0
data entry,-0.13504937439024395,0.1657721545615248,82.0
quality,-0.02477413013698625,0.039813057305698785,73.0
office manager,-1.0,-1.0,0.0
human resources,-0.4659433898305086,0.15623014294192947,59.0
procurement,-0.0840453929411765,0.04997016285545473,85.0
call center,-0.16005730921052633,0.09074046809599232,76.0
automotive,-0.3408073773333332,1.1283727294445023,90.0
production engineer,-0.1066841538461539,0.19718214045549964,78.0
real estate,-0.26606017391304326,0.13245927337020785,69.0
mechanical,-0.11581369624999996,0.03195503812925489,80.0
warehouse,-0.2629982040476191,0.4929990744346378,84.0
electrical,-0.11661945789473678,0.047724812550323806,76.0
php,-0.11893498800000014,0.08513311568997196,75.0
production,-0.07613545411764709,0.045637056431712696,85.0
flutter,-0.7204877357142858,1.3321289675515602,56.0
manager,-1.0,-1.0,0.0
receptionist,-0.15940060714285711,0.10977084179811444,84.0
digital marketing,-0.17437363291139246,0.07454104208436962,79.0
purchasing,-0.03413906506024088,0.03733510268101675,83.0
accounting,-0.07580985434782618,0.03704314168141261,46.0
sales manager,-1.0,-1.0,0.0
hse,-0.8939144641666666,1.475118170305616,84.0
it manager,-1.0,-1.0,0.0
finance,-0.08972728723404261,0.03515559251726293,47.0
android,-0.15537742413793104,0.09573603466147315,87.0
sales engineer,-0.06014709999999996,0.0458678513807196,75.0
pharmaceutical,-0.2823236896103896,0.1404299227601173,77.0
legal,-0.20684344420289852,0.48103764723721115,69.0
secretary,0.006054494666666699,0.06227052221666077,75.0
planning,-0.01184661923076922,0.013245743455958,78.0
maintenance,-0.06489323928571436,0.031826679920317937,84.0
accounting manager,-1.0,-1.0,0.0
project manager,-1.0,-1.0,0.0
maadi,0.36628599565217385,0.6472846867717041,23.0
safety,-0.022984343678160896,0.058886376339286034,87.0
